Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,3/25/2016,11004,7.11,7.11,0,2.57,0.46,4.07,0,33,12,205,804,1819
1503960366,3/26/2016,17609,11.55,11.55,0,6.92,0.73,3.91,0,89,17,274,588,2154
1503960366,3/27/2016,12736,8.53,8.53,0,4.66,0.16,3.71,0,56,5,268,605,1944
1503960366,3/28/2016,13231,8.93,8.93,0,3.19,0.79,4.95,0,39,20,224,1080,1932
1503960366,3/29/2016,12041,7.85,7.85,0,2.16,1.09,4.61,0,28,28,243,763,1886
1503960366,3/30/2016,10970,7.16,7.16,0,2.36,0.51,4.29,0,30,13,223,1174,1820
1503960366,3/31/2016,12256,7.86,7.86,0,2.29,0.49,5.04,0,33,12,239,820,1889
1503960366,4/1/2016,12262,7.87,7.87,0,3.32,0.83,3.64,0,47,21,200,866,1868
1503960366,4/2/2016,11248,7.25,7.25,0,3.00,0.45,3.74,0,40,11,244,636,1843
1503960366,4/3/2016,10016,6.37,6.37,0,0.91,1.28,4.18,0,15,30,314,655,1850
1503960366,4/4/2016,14557,9.80,9.80,0,3.39,0.70,5.69,0,43,18,285,757,2030
1503960366,4/5/2016,14844,9.73,9.73,0,2.94,0.76,6.04,0,36,18,341,736,2083
1503960366,4/6/2016,11974,7.67,7.67,0,2.04,0.48,5.15,0,27,12,228,1173,1861
1503960366,4/7/2016,10198,6.44,6.44,0,1.20,0.79,4.45,0,17,20,195,1208,1755
1503960366,4/8/2016,12521,7.94,7.94,0,3.31,0.90,3.74,0,46,22,212,1160,1895
1503960366,4/9/2016,12432,8.10,8.10,0,2.59,0.59,4.92,0,32,15,248,738,1883
1503960366,4/10/2016,10057,6.98,6.98,0,4.00,0.49,2.48,0,44,13,168,737,1755
1503960366,4/11/2016,10990,7.26,7.26,0,2.04,0.57,4.65,0,26,14,216,855,1811
1503960366,4/12/2016,224,0.14,0.14,0,0.00,0.00,0.13,0,0,0,9,32,50
1624580081,3/25/2016,1810,1.18,1.18,0,0.00,0.00,1.13,0.01,0,0,121,1319,1373
1624580081,3/26/2016,815,0.53,0.53,0,0.00,0.00,0.53,0,0,0,47,1393,1264
1624580081,3/27/2016,1985,1.29,1.29,0,0.00,0.00,1.28,0.01,0,0,112,1328,1350
1624580081,3/28/2016,1905,1.24,1.24,0,0.00,0.00,1.24,0,0,0,95,1345,1342
1624580081,3/29/2016,1552,1.01,1.01,0,0.00,0.00,1.00,0,0,0,66,1374,1300
1624580081,3/30/2016,1675,1.09,1.09,0,0.00,0.00,1.09,0,0,0,84,1356,1313
